x1 x2 y
1 179.077348445741 127.928104804713
0 167.733187747588 129.124617554913
1 198.227485939608 142.141856658833
1 188.627237922133 130.654129064581
1 166.179693062931 147.968560938656
1 172.131859741708 129.980480302284
0 168.703737362808 106.297347503817
1 193.62784876584 150.966558367695
1 128.847596330147 131.443960275868
0 125.092582505065 135.628122052132
1 175.748964794347 141.667845898018
0 140.870220517317 125.080665689164
0 162.131631594933 117.899759707553
1 170.190305780897 138.626311856325
0 144.681212869636 110.448545151767
1 190.146222847534 132.751937664658
1 206.933355359601 159.705538676961
1 171.710917809397 146.072000820777
1 184.247440612383 147.677947922164
0 147.854823044165 124.778136450738
1 194.030767967966 150.261916048941
0 151.921892910142 119.309389412487
1 152.300017421105 133.582598171255
1 136.81040440038 135.838066022783
1 172.677612327234 137.818773912446
1 156.305918549645 126.807652489547
1 175.833343551176 136.774488262476
1 208.819295157894 142.204052164552
0 142.390531608792 119.134618256938
1 188.20206249664 141.983783311082
1 210.939240995616 139.718307258295
1 155.391690294931 119.095532714392
0 143.112988634061 121.88667820076
0 147.406316907762 103.267958305316
0 153.426494515232 115.443772154218
0 157.582850233954 121.334601783973
0 129.315254498845 114.457439708343
1 213.437365549675 155.385064172273
1 167.397443395311 141.772131230978
1 154.965538352751 133.810073949474
0 169.372475006067 114.823183231028
1 200.068755754056 150.665997185712
0 136.437354088908 115.217444594727
0 163.084510075977 132.133391048108
1 168.441632963532 159.077888940165
0 144.117078092527 108.955753256988
1 181.829058005824 136.909103682181
0 109.047036370748 92.0040680459038
1 166.467627786083 146.109896585739
1 196.788875319485 132.261227088201
1 163.465365091744 140.318720038494
1 185.480891007256 136.318282704118
0 135.224637117497 121.801104111793
1 201.5507795439 148.679494216525
1 186.710243566547 142.936983287722
0 137.413468113813 126.507152754704
0 198.755053215852 130.95114913741
1 175.753969552637 149.222929686564
0 166.61309699441 123.710354497289
0 136.016209445575 115.543851472673
1 152.777398144122 107.828466208772
1 188.049691087961 145.563020503674
1 199.473408387309 145.182930391474
0 153.168572239387 113.282349388785
1 174.083936652436 134.003745298291
0 104.301982409318 90.1238106639757
1 205.155485078228 156.239207282134
1 149.069798974826 132.770612023747
0 170.183034347022 103.619443314975
1 159.279503419591 137.310747990529
1 219.545324166566 153.518007135584
0 145.289401212217 117.889694616063
0 162.37850297374 103.891560467512
0 143.574155783758 131.646356264485
1 183.61466140879 173.836251062521
0 154.556644590062 125.346480477352
1 198.40935520569 132.49917670078
0 147.301519380779 112.49373223683
1 164.094293745893 132.098938238553
0 138.484235737462 118.669689525594
0 167.87455083355 132.514892108483
0 143.760364677431 107.482044534654
0 121.921411534041 109.009902082848
0 135.0911312383 124.606310623122
0 140.165568498167 120.209222481979
0 152.140214099187 115.646389970779
1 169.214384873144 153.436931245493
0 133.572184453828 100.940258514353
1 169.315314477486 163.135318884372
0 154.560345218335 122.343542280078
0 127.161096267584 111.113909632237
0 156.71711600351 132.345164305499
1 166.596579110966 124.689238651353
1 177.858767884448 151.886442457623
1 184.757520031418 149.670855309271
0 180.333002668032 123.926687405676
0 165.46508778426 119.632299179912
1 164.592759309288 130.048884458266
0 154.491365025269 139.09826133875
0 121.192128405928 112.589531604337
0 151.264329387672 109.974609870882
1 183.118687482866 161.766528480643
1 157.592568125889 129.605752966865
1 182.726236408922 150.329957755694
1 156.96081657928 136.206165207009
1 160.31613378957 136.34275154866
1 161.348737937088 128.494722745327
0 150.563090196342 116.30250143488
1 180.373242271556 140.616263314301
1 174.936821373392 138.86227011755
0 106.148180968224 104.225876332799
0 142.628136021739 118.430777933061
0 180.621725678352 131.825989322588
1 176.0564705718 132.707180562407
1 177.982792211749 153.504250870765
1 174.575763188981 147.488261965774
1 151.498193185244 142.539250829865
0 118.857877246686 114.209764645367
1 168.935895582276 142.319029254183
0 120.915823394103 99.8803077692238
0 141.342120640715 129.870923080671
1 166.835435678623 145.591837824987
0 154.146918795713 120.60474609648
1 167.726974416375 139.572581677513
0 137.588836291914 94.472146892807
0 161.954034154678 123.224038131298
0 125.620965685418 112.388150717285
1 153.776706193421 137.292696517713
0 135.527995143017 134.318265148075
0 129.119942910716 120.262419898924
1 180.761150532026 155.08884768496
1 200.641377308573 154.065712766331
1 185.587634847312 145.373068961651
1 205.663074191903 158.520676176717
0 159.763811017702 142.469400603723
0 152.564085950078 120.329377742344
1 193.24471740765 148.109588919699
1 177.668979756279 135.519449093983
1 207.929600683422 151.424889940457
1 158.333277517479 131.393707631589
0 151.9504900293 125.522267379135
1 193.741330766903 150.769726658181
1 134.48073546289 103.681861464804
1 210.405332817504 152.371878917885
1 169.11172598822 133.087009103011
0 162.537931224242 119.735905820824
1 182.714501128646 125.644458978049
0 118.556267193029 100.737157603282
0 193.997558228376 143.661230937578
0 150.74441148005 118.39343659262
1 176.943231963581 140.560057647127
0 140.424221182528 118.668614252361
1 145.711617790963 150.897774554254
0 132.667972803872 102.464406662971
0 161.826145255682 123.297876205437
0 155.879684733518 125.80913880948
0 159.497420300029 140.090409426302
1 207.387148776328 134.66929301254
0 153.671754283028 125.731988396013
1 166.159678464308 149.712526550739
0 146.553344342116 106.69265998219
0 142.719887767744 128.866038629215
1 198.454287810213 149.767732180273
1 194.533039932222 138.134214962835
1 187.82392128935 143.281878238079
1 140.882631190219 117.003853374384
1 206.723477030797 157.729867594972
1 190.862983547754 158.337891646651
1 177.409199412032 144.114009321366
0 148.188086705493 117.74829014262
1 209.022433062777 143.427868679392
1 155.321527963545 129.217126416027
0 134.469613541112 127.439239314652
1 167.733220075635 111.05636285791
1 176.777056076502 121.810993079133
1 144.615922691988 148.204163378497
0 99.2563501624974 128.256034118038
1 182.656124402657 143.691719249854
1 167.804208929262 141.485624250522
0 155.986677218217 116.493173272863
0 127.461315244722 95.7019669342619
0 117.049215656823 102.547077562246
1 170.484904196994 153.663082770246
1 182.880035629334 137.678900237603
1 169.609922222716 124.250001553744
1 205.704913790155 151.521915556055
1 198.945074511858 158.703838936177
0 113.347089188401 109.600329662028
1 147.850914244929 140.214154338963
1 188.729009575689 135.619044272672
1 171.610001764975 139.006872609524
1 180.533292528446 143.112269754926
1 192.852067806264 134.838324283674
1 167.503819778937 129.093125729648
0 161.619512274641 102.594487811238
1 173.710094356918 135.861169588949
1 182.491637288576 156.818179408897
0 146.840475304033 110.879649690058
0 113.519274662011 107.964575325079
0 133.351358141331 120.456646019613
0 135.50854103555 107.007749258246
0 160.449268094416 122.482690110309
1 144.628950871734 129.179868820949
1 194.541015898812 146.486711247034
1 155.534099895333 132.090463431314
1 168.567820696654 131.622265722841
1 170.468640498674 147.744725205312
1 177.506299874991 141.720400311358
0 174.286644316294 117.971799685537
1 198.762036879132 143.779445329654
1 202.992556418934 144.23339277091
0 153.991615759119 121.94592166256
1 154.296457452735 110.50585643286
0 178.094874427614 132.442297274076
1 165.745391626202 146.58813168784
0 152.201775622201 121.291029566373
0 149.958928797579 133.415638084056
